path,tracked,text_lines,bytes,sha256,review_scope,method
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/ScenarioFixtureLoader.kt,True,59,2389,838e8edbff528391d4ffe226e6c9ff15c98c320f66c08588bce242b338e1af19,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/ScenarioFixtureLoaderTests.kt,True,28,1013,340e89b7cd3a051a5fbeac16e9d9012f38bd3c5b1887bae027da6a0b6a368ed4,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/SchemaIntegrationTests.kt,True,758,29121,edc77abd9e695cfb439d1542dce0bf3f7072959a1f6ff7b69ce8ab87a156e1ec,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/SchemaManagerTests.kt,True,1173,58023,6b3ac2132a2d8ea8aeed991fec08a8fa02ebe701415cb90ae13746c7a4f5ed0f,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/SyncEngineTests.kt,True,3757,162388,c64fae1a899e1459c2a4c30f16857f7775ce22a6aacc7ce85dd78fbd6c19f787,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/SynchroClientTests.kt,True,813,31174,e871b020974daf26241a66b17abf15fc1b3a8d12f3d8974caaa8b48d078fad7f,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/TestDatabaseTracker.kt,True,23,612,b518ad7808b2eb98c0fd050c8ae21baf632bea43e48b12b19c2ad2ec7bc4e0d5,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/TestSchemaHelpers.kt,True,388,13434,2c49ff4e03047d72f7e11d8635009de411ca09c1a7b46d56793414c92f567420,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/TransportObservationTests.kt,True,331,13655,0b2f78fd40dff4a72e95091732677abdd29e938051d209f8aea57d86af6a163c,07-kotlin,full-text
clients/react-native/.editorconfig,True,15,283,94edda8f7d0489cc5b03130c54a67f25ddcdac05b10ef15ab76789d885762e06,08-react-native,full-text
clients/react-native/.gitattributes,True,3,72,6dc4265278171acb696f19ad799e311e45cd4afc35672746b078578c30aef25d,08-react-native,full-text
clients/react-native/.gitignore,True,89,906,035d145236448f10029730ce8e72b04d51383dc1302de9742ff028475dc254de,08-react-native,full-text
clients/react-native/.nvmrc,True,1,9,1506cdf8613ebb6c1198a9587c5e1b708b3e779b139a0b59f937efa199e2ecae,08-react-native,full-text
clients/react-native/.watchmanconfig,True,9,156,4ac5273d2862bda9514411bedd4a8a717455bd3543fa4e82d3381f384a9173b8,08-react-native,full-text
clients/react-native/.yarn/releases/yarn-4.11.0.cjs,True,942,2991245,b0efc6597348fab50c777d2ff4b09e814974058cf012c3d687c9e80bca824358,08-react-native,full-text
clients/react-native/.yarnrc.yml,True,4,96,2307603409b61f21b2f78e86053099f43ec95bcaf9c6d9ec704985995dd6bd30,08-react-native,full-text
clients/react-native/BUILD_TRACKER.md,True,30,995,9ba3115cc5f3b7c55d29a8bd7751d2d96a3c65a4470461246feffadef1ac8889,08-react-native,full-text
clients/react-native/CODE_OF_CONDUCT.md,True,133,5489,b115034e51a649fda55572de32880b12224311bc35517d0534de26223683230a,08-react-native,full-text
clients/react-native/CONTRIBUTING.md,True,95,3702,ca29894396687c12dee34de6698d0ed2223e8dbaa63162eb3e1d6e700a06b58a,08-react-native,full-text
clients/react-native/LICENSE,True,20,1065,a1c9fec484ea3a5f7cb84f21c43616e28cf209a982f5a04bb7802ea5d79485e9,08-react-native,full-text
clients/react-native/README.md,True,122,2972,36f312c81b9053badbc09b9cf11fe5f483b545c5f11f9eaa712bb6578084bbc3,08-react-native,full-text
clients/react-native/SynchroReactNative.podspec,True,23,691,3264c589eb1a5a64ced2f2e12b94cf8474625149309cf6b5cff7277ebb692720,08-react-native,full-text
clients/react-native/__tests__/SynchroClient.test.ts,True,864,28621,2744b1507fe08d399a7a62e3578c1ffff1841dfa8a321b6517cd5fedb95b98a7,08-react-native,full-text
clients/react-native/__tests__/__mocks__/react-native.ts,True,107,4777,352fa03ef6e3795efdd65c1578f33dc668a972ade6f9dd6da5a1eadec7302311,08-react-native,full-text
clients/react-native/__tests__/conformanceRunner.test.ts,True,738,26944,229d2879859dadbee382e648b1b481e0692805339d5a2aa615b2897da36bf78b,08-react-native,full-text
clients/react-native/__tests__/corpusHarness.test.ts,True,12,584,5b2ad88f512e3a117c96c94212f2a0813854687cdb36d70d874796ba37d07bcc,08-react-native,full-text
clients/react-native/__tests__/errors.test.ts,True,245,7824,0749ceeb741f2aadb03f3f9f475116491fbe0d68200eecdf4ecb0da1ad757b15,08-react-native,full-text
clients/react-native/__tests__/events.test.ts,True,465,13800,287c943db5f9ac1870aea58fe63d5c4079bcc6fb1462b8a77087c7d9fc412e7c,08-react-native,full-text
clients/react-native/__tests__/hooks/usePendingChanges.test.ts,True,102,2936,33383ff2705547809cf49cf5336161e38c507728ed68f8bcf7e8f2d91d6d9a0d,08-react-native,full-text
clients/react-native/__tests__/hooks/useQuery.test.ts,True,125,3933,55e716c1dc7c89547dd0b261a397baf70b3fccecf2031dbc186d3fede898b754,08-react-native,full-text
clients/react-native/__tests__/hooks/useSyncStatus.test.ts,True,83,2189,dd2fa75aa5bc742a5a7fedb7d81f674c51d8e08e9f39deb7b2a503d49ea3d6b6,08-react-native,full-text
clients/react-native/__tests__/sqliteValues.test.ts,True,75,2507,3aa3772dc8a8de68de540b9ec36a477d32b3273ab17a2aa6f11d80c8ac64db41,08-react-native,full-text
clients/react-native/android/build.gradle,True,88,1946,1ae2db2192f24e3dc7245d3961fa233842b2765b6c3a6941d3c80c2f24f3c7df,08-react-native,full-text
clients/react-native/android/src/main/AndroidManifest.xml,True,3,121,b6748029d829674595bba7dae80ac233adecc420ff2eab672462178c66e8da3d,08-react-native,full-text
clients/react-native/android/src/main/kotlin/com/trainstar/synchro/rn/SynchroModule.kt,True,1675,67331,e160350b3d66a2f3de15f0e0b61d47e5837a5467ef2657d17c9d253813e2a2b7,08-react-native,full-text
clients/react-native/android/src/main/kotlin/com/trainstar/synchro/rn/SynchroPackage.kt,True,32,1101,0f2e394ef9e1d55cf31de96d038bf63a51b755377c2bdae7fe0e1d32a5159044,08-react-native,full-text
clients/react-native/babel.config.js,True,12,257,4a1c2d6ff206c0a3f09b4588be21c889bd95c4701dad3dd7025689ffd6383cb1,08-react-native,full-text
clients/react-native/eslint.config.mjs,True,27,731,a203593a8a7da32572ac910d6398f918b00d2a95a4ad6978003cc5b997480dee,08-react-native,full-text
clients/react-native/example/.bundle/config,True,2,59,1bb9cb652452ff64fc047171561f9d7310319496a03d667703b953a716b3e589,08-react-native,full-text
clients/react-native/example/.detoxrc.js,True,73,2346,02ed1100e0e8c281df1c7437fdda9797a01185fded14956852543606274b6a8a,08-react-native,full-text
clients/react-native/example/.detoxrc.steady-pull.js,True,12,211,a710f4dc517bc10786a5c425cfd59cb15a3e470e9182729f849f54844f987c8b,08-react-native,full-text
clients/react-native/example/.detoxrc.warm-connect.js,True,12,212,86ba33f078fb58c3b733889e5c028830af99e665171e86f366959e3cc45961b1,08-react-native,full-text
clients/react-native/example/.watchmanconfig,True,8,103,f686f5f6523f3ee1c8531d88717c23a052e6e062b486afeb93304710418b6ff8,08-react-native,full-text
clients/react-native/example/README.md,True,57,1951,3c71426a7236952248ee6b8e9edb6ad4f9f101405329cd03ffa9b188faf54b00,08-react-native,full-text
clients/react-native/example/android/.gitignore,True,1,9,7bfea6fb55ccd077179e8f4a2639c07c413395ed5f71463b3c64aef9ca5a0b1a,08-react-native,full-text
clients/react-native/example/android/app/build.gradle,True,155,6122,f5aa6ce04b776e2f6adb462000a52b5f084ff94bd17b872a36815f5ddea8f6de,08-react-native,full-text
